# Anuario de Estadisticas Universitarias 2022 (SPU), version CSV, cuadros del capitulo 2 (pregrado y grado), filas de las cuatro universidades sembradas. Bajado el 2026-09-07 de https://www.argentina.gob.ar/educacion/universidades/informacion/publicaciones/anuarios (anuario_csv_2022.zip). Columnas: est = estudiantes, ni = nuevos inscriptos, r = reinscriptos, e = egresados; el sufijo es la rama o la disciplina.
cuadro,descripcion,institucion,columna,valor
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,e_ciencias_humanas,511
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,est_ciencias_sociales,30120
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ni_ciencias_sociales,10412
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,r_ciencias_sociales,19708
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,e_ciencias_sociales,673
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ma_sin_rama,1532
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,ni_sin_rama,602
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,r_sin_rama,930
Cuadro_2_1_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Tucumán,e_sin_rama,0
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,est,91665
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,ni,23050
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,r,68615
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,e,3021
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,est_informatica,33472
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,ni_informatica,11966
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,r_informatica,21506
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tecnológica Nacional,e_informatica,680
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,est,13956
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,ni,2646
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,r,11310
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,e,504
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,est_informatica,1543
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,ni_informatica,664
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,r_informatica,879
Cuadro_2_1_10,"ciencias aplicadas por disciplina (informatica), 2022",Tucumán,e_informatica,19
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,est,98177
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,est_presencial,94373
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,est_distancia,3804
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,ni,25543
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,ni_presencial,23942
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,ni_distancia,1601
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,e,3738
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,e_presencial,3578
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tecnológica Nacional,e_distancia,160
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tucumán,est,82401
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tucumán,est_presencial,82401
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tucumán,ni,23035
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tucumán,ni_presencial,23035
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tucumán,e,2370
Cuadro_2_1_20,"por modalidad presencial y a distancia, 2022",Tucumán,e_presencial,2370
Cuadro_2_1_23,egresados 2017-2022,Tecnológica Nacional,e_17,1639
Cuadro_2_1_23,egresados 2017-2022,Tecnológica Nacional,e_18,2040
Cuadro_2_1_23,egresados 2017-2022,Tecnológica Nacional,e_19,1756
Cuadro_2_1_23,egresados 2017-2022,Tecnológica Nacional,e_20,1255
Cuadro_2_1_23,egresados 2017-2022,Tecnológica Nacional,e_21,1642
Cuadro_2_1_23,egresados 2017-2022,Tecnológica Nacional,e_22,1474
Cuadro_2_1_23,egresados 2017-2022,Tucumán,e_17,378
Cuadro_2_1_23,egresados 2017-2022,Tucumán,e_18,311
Cuadro_2_1_23,egresados 2017-2022,Tucumán,e_19,263
Cuadro_2_1_23,egresados 2017-2022,Tucumán,e_20,121
Cuadro_2_1_23,egresados 2017-2022,Tucumán,e_21,433
Cuadro_2_1_23,egresados 2017-2022,Tucumán,e_22,430
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2012,44052
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2013,49949
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2014,57267
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2015,61121
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2016,64697
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2017,67586
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2018,68640
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2019,74311
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2020,73971
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2021,83231
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,_2022,89583
Cuadro_2_2_1,estudiantes 2012-2022,Empresarial Siglo 21,tasa,7.4
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2012,6981
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2013,6490
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2014,6126
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2015,5793
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2016,5506
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2017,5973
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2018,6121
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2019,6393
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2020,6393
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2021,6393
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,_2022,7479
Cuadro_2_2_1,estudiantes 2012-2022,Norte Santo Tomás de Aquino,tasa,0.7
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2012,23639
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2013,21791
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2014,24516
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2015,24064
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2016,25225
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2017,28270
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2018,26552
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2019,27214
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2020,25938
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2021,32742
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,_2022,38360
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Empresarial Siglo 21,tasa,5.0
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2012,1432
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2013,1382
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2014,1234
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2015,1313
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2016,1218
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2017,1651
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2018,1774
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2019,1877
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2020,1877
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2021,1877
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,_2022,2398
Cuadro_2_2_2,nuevos inscriptos 2012-2022,Norte Santo Tomás de Aquino,tasa,5.3
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2012,2002
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2013,2720
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2014,4272
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2015,4483
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2016,4639
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2017,4720
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2018,5596
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2019,8932
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2020,10475
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2021,8639
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,_2022,8717
Cuadro_2_2_3,egresados 2012-2022,Empresarial Siglo 21,tasa,15.8
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2012,587
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2013,571
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2014,572
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2015,534
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2016,516
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2017,564
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2018,456
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2019,310
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2020,310
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2021,310
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,_2022,401
Cuadro_2_2_3,egresados 2012-2022,Norte Santo Tomás de Aquino,tasa,-3.7
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,est,89583
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,ni,38360
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,r,51223
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,e,8717
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,est_ciencias_aplicadas,11683
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,ni_ciencias_aplicadas,6188
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,r_ciencias_aplicadas,5495
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,e_ciencias_aplicadas,763
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,est_ciencias_basicas,1012
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,ni_ciencias_basicas,483
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,r_ciencias_basicas,529
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,e_ciencias_basicas,64
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,est_ciencias_salud,868
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,ni_ciencias_salud,696
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,r_ciencias_salud,172
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,e_ciencias_salud,0
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,est_ciencias_humanas,3560
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,ni_ciencias_humanas,1423
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,r_ciencias_humanas,2137
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,e_ciencias_humanas,635
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,est_ciencias_sociales,72460
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,ni_ciencias_sociales,29570
Cuadro_2_2_9,"estudiantes, nuevos inscriptos, reinscriptos y egresados por rama, 2022",Empresarial Siglo 21,r_ciencias_sociales,42890
