# SIPES, Base de Titulos Universitarios (DNGU), https://sipes.siu.edu.ar/buscar_titulos_form.php . Todas las paginas del buscador para las cinco instituciones, consultado el 2026-09-08 (hora de Argentina, noche del 7) con el formulario y su paginado. UTN es la universidad entera (no se puede filtrar por Facultad Regional); Siglo 21 dicta a distancia.
cod_institucion,institucion,titulo,carrera,resolucion_reconocimiento_oficial,modalidad,nivel
36,Universidad Nacional de Tucumán,DOCTOR/A EN HUMANIDADES (PUDIENDO INCORPORARSE EL ÁREA DE CONOCIMIENTO INVOLUCRADA EN LA TESIS DOCTORAL),DOCTORADO EN HUMANIDADES,D./609/2025,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN INGENIERÍA,DOCTORADO EN INGENIERÍA,R.M./1527/2015 - R.M./1082/2012 - R.M./161/2023,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN INGENIERÍA INDUSTRIAL,DOCTORADO EN INGENIERÍA INDUSTRIAL,R.M./3059/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN LETRAS,DOCTORADO EN LETRAS,D./200/2026,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN MEDICINA,DOCTORADO EN MEDICINA,R.M./749/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN MEDIO AMBIENTE VISUAL E ILUMINACIÓN EFICIENTE,DOCTORADO EN MEDIO AMBIENTE VISUAL E ILUMINACIÓN EFICIENTE,R.M./1400/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN ODONTOLOGÍA,DOCTORADO EN ODONTOLOGÍA,R.M./1108/2018,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN ODONTOLOGÍA,DOCTORADO EN ODONTOLOGÍA,R.M./1578/2019,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN PSICOLOGÍA,DOCTORADO EN PSICOLOGÍA,R.M./4070/2017,PRESENCIAL,Posgrado
36,Universidad Nacional de Tucumán,DOCTOR/A EN PSICOLOGÍA, ,R.M.-0277/09,PRESENCIAL,Posgrado
